Rk,School,Overall G,Overall W,Overall L,Overall W-L%,OverallSRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,PPG,Points Opponent,OPPG,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
234,Oral Roberts,31,14,17,0.452,-2.69,0.59,6,10,8,4,4,12,2356,76,2384,76.90322581,1245,832,1821,0.457,194,514,0.377,498,665,0.749,299,1101,384,162,133,373,563
235,Oregon State NCAA,32,19,13,0.594,10.39,9.26,9,9,12,3,4,7,2301,71.90625,2244,70.125,1280,811,1843,0.44,218,587,0.371,461,687,0.671,337,1102,432,236,106,361,642
236,Oregon NCAA,38,31,7,0.816,18.05,8.64,14,4,18,0,5,5,2990,78.68421053,2614,68.78947368,1525,1041,2230,0.467,260,758,0.343,648,906,0.715,442,1382,517,275,221,431,675
237,Pacific,28,8,20,0.286,-3.57,2.35,6,12,6,8,2,11,1948,69.57142857,2009,71.75,1140,685,1559,0.439,190,576,0.33,388,575,0.675,282,993,362,125,71,383,637
238,Penn State,32,16,16,0.5,3.17,6.95,7,11,11,4,3,8,2107,65.84375,2228,69.625,1290,732,1799,0.407,211,665,0.317,432,621,0.696,333,1109,322,166,141,361,644
239,Pennsylvania,28,11,17,0.393,-6.18,-2.15,5,9,9,6,2,11,1911,68.25,2013,71.89285714,1130,685,1606,0.427,200,657,0.304,341,508,0.671,288,1001,381,146,75,373,513
240,Pepperdine,32,18,14,0.563,2.33,1.68,10,8,10,3,6,8,2349,73.40625,2287,71.46875,1300,840,1861,0.451,162,469,0.345,507,754,0.672,351,1182,457,187,93,357,595
241,Pittsburgh NCAA,33,21,12,0.636,15.47,8.75,9,9,15,4,3,6,2476,75.03030303,2220,67.27272727,1330,878,1919,0.458,204,589,0.346,516,686,0.752,417,1257,547,162,121,384,581
242,Portland State,31,13,18,0.419,-8.15,-5.94,8,10,8,6,4,11,2408,77.67741935,2409,77.70967742,1240,908,1904,0.477,167,519,0.322,425,645,0.659,329,1096,527,263,112,390,589
243,Portland,32,12,20,0.375,-2.21,0.56,6,12,8,7,3,9,2483,77.59375,2552,79.75,1285,868,2012,0.431,289,787,0.367,458,633,0.724,369,1130,425,208,128,389,697
244,Prairie View,31,7,24,0.226,-17.43,-6.82,7,11,4,6,3,16,1873,60.41935484,2202,71.03225806,1240,657,1727,0.38,127,467,0.272,432,630,0.686,355,998,269,239,84,465,691
245,Presbyterian,31,11,20,0.355,-13.38,-4.98,5,13,7,8,3,11,2093,67.51612903,2259,72.87096774,1245,754,1743,0.433,148,502,0.295,437,615,0.711,298,1047,350,206,60,441,595
246,Princeton,29,22,7,0.759,7.17,-1.72,12,2,13,0,9,6,2294,79.10344828,1989,68.5862069,1175,800,1725,0.464,282,736,0.383,412,579,0.712,288,1069,431,206,104,330,503
247,Providence NCAA,35,24,11,0.686,11.94,8.46,10,8,13,4,7,4,2577,73.62857143,2455,70.14285714,1415,881,2093,0.421,249,776,0.321,566,781,0.725,402,1263,550,229,123,397,591
248,Purdue NCAA,35,26,9,0.743,20.17,7.46,12,6,17,1,5,5,2726,77.88571429,2281,65.17142857,1415,960,2042,0.47,268,731,0.367,538,723,0.744,400,1443,615,147,165,419,607
249,Quinnipiac,30,9,21,0.3,-10.38,-4.98,6,14,6,8,3,11,1969,65.63333333,2131,71.03333333,1215,698,1897,0.368,229,671,0.341,344,532,0.647,495,1299,377,146,141,459,611
250,Radford,31,16,15,0.516,-5.17,-3.45,9,9,8,6,7,7,2266,73.09677419,2248,72.51612903,1270,844,1885,0.448,226,658,0.343,352,541,0.651,408,1174,410,183,138,416,580
251,Rhode Island,32,17,15,0.531,7.92,3.29,9,9,13,4,3,9,2220,69.375,2072,64.75,1295,782,1762,0.444,213,584,0.365,443,662,0.669,335,1118,391,170,159,368,606
252,Rice,32,12,20,0.375,-8.8,-2.7,7,11,9,8,3,11,2427,75.84375,2576,80.5,1285,813,1798,0.452,228,716,0.318,573,773,0.741,294,1052,419,205,89,419,562
253,Richmond,32,16,16,0.5,7.28,4.56,7,11,9,7,5,7,2450,76.5625,2363,73.84375,1295,890,1848,0.482,240,674,0.356,430,652,0.66,251,1021,531,210,74,327,610
254,Rider,33,13,20,0.394,-5,-3.6,8,12,7,6,4,12,2177,65.96969697,2223,67.36363636,1340,769,1803,0.427,204,647,0.315,435,638,0.682,330,1170,416,189,124,421,587
255,Robert Morris,32,10,22,0.313,-13.53,-7.75,8,10,4,8,5,14,2082,65.0625,2267,70.84375,1285,741,1780,0.416,178,645,0.276,422,633,0.667,303,1042,400,265,127,454,552
256,Rutgers,32,7,25,0.219,-7.06,6.43,1,17,7,11,0,11,2166,67.6875,2571,80.34375,1295,785,1878,0.418,161,503,0.32,435,640,0.68,314,1113,377,195,113,443,562
257,Sacramento State,31,14,17,0.452,-8.63,-5.32,6,12,10,5,3,11,2210,71.29032258,2237,72.16129032,1245,790,1784,0.443,209,618,0.338,421,627,0.671,302,1112,434,175,130,367,631
258,Sacred Heart,30,12,18,0.4,-13.01,-9.05,11,7,6,5,5,13,2217,73.9,2336,77.86666667,1210,785,1795,0.437,169,544,0.311,478,695,0.688,378,1128,363,190,77,442,625
259,Saint Francis (PA),30,13,17,0.433,-12.57,-9.06,9,9,8,6,5,11,2110,70.33333333,2181,72.7,1210,716,1700,0.421,218,607,0.359,460,662,0.695,349,1093,356,140,95,379,515
260,Saint Joseph's NCAA,36,28,8,0.778,12.1,4.93,13,5,12,4,10,2,2780,77.22222222,2522,70.05555556,1445,976,2153,0.453,251,767,0.327,577,806,0.716,359,1378,534,184,119,355,583
261,Saint Louis,32,11,21,0.344,-2.73,3.49,5,13,7,11,3,8,2106,65.8125,2305,72.03125,1290,724,1726,0.419,199,607,0.328,459,653,0.703,230,1045,426,175,66,436,646
262,Saint Mary's (CA),35,29,6,0.829,13.6,1.24,15,3,20,1,7,4,2576,73.6,2132,60.91428571,1400,951,1887,0.504,303,747,0.406,371,539,0.688,310,1225,583,169,119,335,539
263,Saint Peter's,30,14,16,0.467,-5,-4.3,12,8,9,5,5,10,1966,65.53333333,1987,66.23333333,1210,700,1660,0.422,183,560,0.327,383,582,0.658,322,1102,357,164,96,392,528
264,Sam Houston State,34,18,16,0.529,-6.06,-6.5,12,6,10,5,6,9,2551,75.02941176,2427,71.38235294,1370,876,2013,0.435,264,775,0.341,535,767,0.698,380,1261,575,188,57,400,742
265,Samford,33,14,19,0.424,-5.94,-4.49,4,14,6,7,5,11,2440,73.93939394,2442,74,1345,845,1857,0.455,177,548,0.323,573,798,0.718,345,1143,435,226,113,455,691
266,San Diego State,38,28,10,0.737,11.89,4.33,16,2,16,4,9,2,2605,68.55263158,2303,60.60526316,1530,885,2100,0.421,222,687,0.323,613,892,0.687,453,1475,405,210,207,467,648
267,San Diego,30,9,21,0.3,-7.78,1.42,4,14,6,7,1,11,1822,60.73333333,2074,69.13333333,1200,630,1614,0.39,192,673,0.285,370,559,0.662,289,995,328,139,118,410,640
268,San Francisco,30,15,15,0.5,-2.92,-0.68,8,10,10,7,5,7,2329,77.63333333,2362,78.73333333,1220,808,1839,0.439,233,659,0.354,480,708,0.678,389,1181,371,162,88,379,619
269,San Jose State,31,9,22,0.29,-5.79,1.35,4,14,7,7,1,13,2186,70.51612903,2290,73.87096774,1245,756,1783,0.424,212,690,0.307,462,701,0.659,327,1130,449,186,120,430,687
270,Santa Clara,31,11,20,0.355,-4.67,1.86,7,11,7,8,3,9,2083,67.19354839,2272,73.29032258,1265,713,1741,0.41,232,675,0.344,425,592,0.718,279,1047,383,134,83,350,613
271,Savannah State,32,16,16,0.5,-15.39,-8.59,9,7,12,3,2,12,1992,62.25,2167,67.71875,1285,667,1685,0.396,204,647,0.315,452,686,0.659,297,1022,330,201,84,473,632
272,Seattle,32,15,17,0.469,-9.62,-5.02,7,7,10,8,3,8,2074,64.8125,2140,66.875,1285,735,1732,0.424,197,550,0.358,407,612,0.665,365,1174,415,193,51,505,584
273,Seton Hall NCAA,34,25,9,0.735,14.66,8.28,12,6,13,3,7,4,2522,74.17647059,2305,67.79411765,1365,892,1999,0.446,206,594,0.347,532,808,0.658,438,1355,455,251,155,469,636
274,Siena,34,21,13,0.618,1.73,-3.19,13,7,12,3,7,9,2659,78.20588235,2492,73.29411765,1385,929,1992,0.466,215,585,0.368,586,812,0.722,455,1362,492,210,155,546,714
275,South Alabama,33,14,19,0.424,-8.18,-2.02,8,12,8,6,4,11,2284,69.21212121,2426,73.51515152,1345,784,1917,0.409,213,660,0.323,503,747,0.673,390,1228,350,221,132,483,664
276,South Carolina State,34,19,15,0.559,-9.99,-8.24,12,4,10,1,6,12,2485,73.08823529,2485,73.08823529,1360,885,1955,0.453,201,589,0.341,514,716,0.718,342,1145,432,156,94,400,656
277,South Carolina Upstate,32,10,22,0.313,-13.78,-4.39,4,10,7,10,3,12,2315,72.34375,2495,77.96875,1290,860,1914,0.449,218,640,0.341,377,590,0.639,413,1228,484,175,106,449,623
278,South Carolina,34,25,9,0.735,12.01,5.83,11,7,16,3,5,5,2583,75.97058824,2357,69.32352941,1370,882,2040,0.432,216,614,0.352,603,883,0.683,472,1372,461,230,151,464,672
279,South Dakota State NCAA,34,26,8,0.765,5.44,-1.22,12,4,13,0,8,7,2591,76.20588235,2316,68.11764706,1360,877,1950,0.45,255,715,0.357,582,783,0.743,381,1279,381,169,84,399,670
280,South Dakota,32,14,18,0.438,-5.58,-0.88,5,11,6,6,5,10,2443,76.34375,2537,79.28125,1305,912,1954,0.467,201,565,0.356,418,596,0.701,289,1077,492,209,113,388,662
281,South Florida,33,8,25,0.242,-2.85,5.24,4,14,4,14,3,9,2085,63.18181818,2352,71.27272727,1320,774,1852,0.418,133,465,0.286,404,612,0.66,413,1271,331,150,176,485,588
282,Southeast Missouri State,29,5,24,0.172,-16.05,-3.43,2,14,3,10,2,14,1944,67.03448276,2252,77.65517241,1165,699,1710,0.409,154,513,0.3,392,612,0.641,326,1022,358,218,46,402,514
283,Southeastern Louisiana,33,12,21,0.364,-13.61,-7.55,9,9,9,3,2,15,2344,71.03030303,2489,75.42424242,1325,831,1833,0.453,241,648,0.372,441,694,0.635,336,1140,472,211,89,504,688
284,Southern California NCAA,34,21,13,0.618,13.52,7.64,9,9,16,2,3,7,2737,80.5,2537,74.61764706,1380,982,2138,0.459,266,688,0.387,507,750,0.676,401,1337,504,215,181,415,590
285,SIU Edwardsville,28,6,22,0.214,-10.78,-2.6,3,13,3,11,3,11,1839,65.67857143,2068,73.85714286,1130,634,1591,0.398,158,519,0.304,413,587,0.704,339,1001,303,138,112,377,619
286,Southern Illinois,32,22,10,0.688,2.79,-1.3,11,7,12,4,9,4,2360,73.75,2229,69.65625,1290,828,1827,0.453,212,618,0.343,492,718,0.685,357,1135,371,232,63,438,685
287,Southern Methodist,30,25,5,0.833,18.42,4.56,13,5,16,1,7,4,2319,77.3,1903,63.43333333,1200,858,1727,0.497,194,462,0.42,409,584,0.7,396,1183,528,182,137,372,472
288,Southern Mississippi,29,8,21,0.276,-10.58,-3.66,5,13,6,9,2,12,1866,64.34482759,2045,70.51724138,1180,612,1496,0.409,257,721,0.356,385,540,0.713,228,920,353,156,63,388,543
289,Southern Utah,30,6,24,0.2,-17.36,-4.22,3,15,3,10,3,13,2119,70.63333333,2429,80.96666667,1210,739,1682,0.439,210,577,0.364,431,607,0.71,238,926,356,170,86,381,621
290,Southern NCAA,35,22,13,0.629,-7.68,-9.37,11,7,12,1,6,10,2534,72.4,2406,68.74285714,1400,909,2046,0.444,211,610,0.346,505,754,0.67,365,1258,381,258,123,391,680
291,St. Bonaventure,31,22,9,0.71,6.55,1.87,14,4,14,3,8,5,2409,77.70967742,2264,73.03225806,1250,812,1826,0.445,256,687,0.373,529,684,0.773,345,1102,418,184,132,357,602
292,St. Francis (NY),32,15,17,0.469,-11.24,-9.24,11,7,9,5,6,11,2095,65.46875,2131,66.59375,1290,710,1787,0.397,240,776,0.309,435,652,0.667,390,1185,370,191,161,442,600
293,St. John's (NY),32,8,24,0.25,-1.9,7.94,1,17,6,10,0,10,2174,67.9375,2472,77.25,1280,757,1864,0.406,206,633,0.325,454,714,0.636,346,1142,413,202,175,491,680
294,Stanford,30,15,15,0.5,8.06,10.41,8,10,12,5,2,8,2088,69.6,2111,70.36666667,1210,704,1653,0.426,172,538,0.32,508,742,0.685,328,1030,350,203,94,355,600
295,Stephen F. Austin NCAA,34,28,6,0.824,9.23,-5.47,18,0,14,0,9,4,2728,80.23529412,2153,63.32352941,1360,972,2032,0.478,269,741,0.363,515,701,0.735,405,1188,635,310,122,411,700
296,Stetson,34,12,22,0.353,-10.78,-4.35,4,10,6,8,5,13,2729,80.26470588,2807,82.55882353,1390,962,2124,0.453,282,773,0.365,523,725,0.721,328,1213,519,215,83,418,614
297,Stony Brook NCAA,33,26,7,0.788,3.75,-5.28,14,2,15,1,11,5,2515,76.21212121,2115,64.09090909,1325,933,1992,0.468,220,598,0.368,429,637,0.673,425,1312,541,204,150,379,523
298,Syracuse NCAA,37,23,14,0.622,14.62,9.75,9,9,13,4,3,7,2589,69.97297297,2409,65.10810811,1495,884,2080,0.425,315,876,0.36,506,736,0.688,445,1319,493,300,162,440,598
299,Temple NCAA,33,21,12,0.636,7.69,6.57,14,4,11,3,8,4,2267,68.6969697,2230,67.57575758,1345,822,2021,0.407,255,757,0.337,368,538,0.684,371,1225,445,173,103,305,535
300,Tennessee-Martin,35,20,15,0.571,-5.57,-4.72,10,6,11,2,8,10,2554,72.97142857,2494,71.25714286,1420,888,2000,0.444,274,789,0.347,504,711,0.709,371,1279,425,203,70,426,609
301,Tennessee State,31,20,11,0.645,-1.81,-5.3,11,5,11,3,7,7,2273,73.32258065,2134,68.83870968,1260,795,1760,0.452,173,517,0.335,510,734,0.695,353,1149,328,250,113,426,639
302,Tennessee Tech,31,19,12,0.613,-3.21,-3.66,11,5,14,1,5,9,2416,77.93548387,2340,75.48387097,1245,792,1730,0.458,266,731,0.364,566,762,0.743,291,1102,442,159,119,383,600
303,Tennessee,34,15,19,0.441,7.8,7.86,6,12,12,4,1,11,2554,75.11764706,2556,75.17647059,1360,890,2116,0.421,251,767,0.327,523,721,0.725,428,1292,459,180,156,380,662
304,Texas A&M-Corpus Christi,33,25,8,0.758,-3.18,-5.44,15,3,13,1,10,6,2428,73.57575758,2308,69.93939394,1320,838,1918,0.437,215,631,0.341,537,728,0.738,373,1159,421,306,149,419,700
305,Texas A&M NCAA,37,28,9,0.757,18.45,8.45,13,5,17,1,5,5,2828,76.43243243,2458,66.43243243,1500,991,2208,0.449,281,824,0.341,565,841,0.672,460,1461,612,260,133,434,668
306,Texas-Arlington,35,24,11,0.686,5.02,-3.42,13,7,13,2,10,8,2762,78.91428571,2417,69.05714286,1415,956,2249,0.425,307,942,0.326,543,780,0.696,520,1530,590,261,99,482,730
307,Texas Christian,33,12,21,0.364,4.07,8.62,2,16,9,9,1,10,2209,66.93939394,2359,71.48484848,1320,734,1810,0.406,187,558,0.335,554,826,0.671,355,1111,382,213,126,478,675
308,Texas-El Paso,33,19,14,0.576,-3.81,-4.93,10,8,14,4,2,9,2554,77.39393939,2471,74.87878788,1335,896,1926,0.465,223,618,0.361,539,809,0.666,299,1197,512,197,116,417,672
309,Texas-Rio Grande Valley,30,8,22,0.267,-17.88,-4.25,4,10,7,6,1,13,1993,66.43333333,2330,77.66666667,1200,716,1712,0.418,212,633,0.335,349,520,0.671,258,1004,459,143,91,374,536
310,Texas-San Antonio,32,5,27,0.156,-16.36,-3.36,3,15,4,10,1,14,2317,72.40625,2698,84.3125,1290,796,1915,0.416,220,691,0.318,505,719,0.702,327,1086,366,206,80,435,701
311,Texas Southern,33,18,15,0.545,-4.64,-6.94,16,2,9,0,7,13,2403,72.81818182,2327,70.51515152,1320,848,1853,0.458,222,657,0.338,485,769,0.631,408,1249,469,146,101,434,505
312,Texas State,31,15,16,0.484,-5.36,-4.29,8,12,10,4,4,11,2046,66,1993,64.29032258,1250,727,1692,0.43,149,459,0.325,443,658,0.673,336,1063,366,189,96,370,576
313,Texas Tech NCAA,32,19,13,0.594,12.41,10.25,9,9,14,3,3,7,2305,72.03125,2236,69.875,1295,785,1754,0.448,185,534,0.346,550,741,0.742,326,1086,418,190,134,385,589
314,Texas NCAA,33,20,13,0.606,14.8,11.71,11,7,14,3,5,5,2355,71.36363636,2253,68.27272727,1330,814,1884,0.432,232,681,0.341,495,743,0.666,363,1139,377,167,144,341,688
315,Toledo,32,17,15,0.531,2.96,-2.36,8,10,9,6,6,8,2482,77.5625,2286,71.4375,1280,865,1881,0.46,263,722,0.364,489,655,0.747,306,1161,523,167,63,373,552
316,Towson,33,20,13,0.606,-0.06,-1.57,11,7,12,3,7,6,2358,71.45454545,2227,67.48484848,1330,805,1888,0.426,182,574,0.317,566,840,0.674,472,1295,371,203,155,401,677
317,Troy,31,9,22,0.29,-9.21,-2.07,4,16,4,10,4,10,2145,69.19354839,2329,75.12903226,1250,740,1817,0.407,208,675,0.308,457,713,0.641,349,1132,349,185,88,376,582
318,Tulane,34,12,22,0.353,-0.85,3.79,3,15,6,10,2,10,2240,65.88235294,2398,70.52941176,1390,802,2021,0.397,216,719,0.3,420,621,0.676,415,1268,372,218,131,451,649
319,Tulsa NCAA,32,20,12,0.625,9.79,5.76,12,6,12,3,6,5,2356,73.625,2227,69.59375,1290,821,1849,0.444,219,671,0.326,495,731,0.677,323,1123,435,216,88,346,563
320,UCLA,32,15,17,0.469,10.48,9.69,6,12,11,6,3,7,2480,77.5,2455,76.71875,1295,915,2016,0.454,200,551,0.363,450,651,0.691,393,1266,502,175,110,392,595
321,Utah State,31,16,15,0.516,2.68,2.06,7,11,10,6,5,8,2274,73.35483871,2217,71.51612903,1240,802,1779,0.451,257,695,0.37,413,597,0.692,319,1108,454,171,81,373,546
322,Utah Valley,30,12,18,0.4,-9.58,-3.58,6,8,7,7,5,9,2280,76,2360,78.66666667,1210,785,1833,0.428,256,729,0.351,454,628,0.723,276,1100,435,176,95,399,627
323,Utah NCAA,36,27,9,0.75,15.5,8.79,13,5,16,1,5,5,2778,77.16666667,2502,69.5,1460,977,2000,0.489,273,746,0.366,551,764,0.721,347,1335,557,199,149,451,549
324,Valparaiso,37,30,7,0.811,10.71,0.02,16,2,17,1,12,4,2782,75.18918919,2323,62.78378378,1490,964,2178,0.443,298,829,0.359,556,769,0.723,468,1533,526,246,175,479,731
325,Vanderbilt NCAA,33,19,14,0.576,17.2,8.68,11,7,14,2,3,9,2506,75.93939394,2225,67.42424242,1330,857,1879,0.456,273,714,0.382,519,747,0.695,313,1273,487,139,182,386,632
326,Vermont,37,23,14,0.622,-1.51,-4.73,11,5,13,3,9,10,2774,74.97297297,2611,70.56756757,1480,986,2051,0.481,255,666,0.383,547,772,0.709,343,1321,495,212,161,490,719
327,Villanova NCAA,40,35,5,0.875,24.08,9.71,16,2,15,1,10,2,3118,77.95,2543,63.575,1605,1086,2247,0.483,347,959,0.362,599,766,0.782,351,1385,637,282,136,440,681
328,Virginia Commonwealth NCAA,36,25,11,0.694,13.83,4.35,14,4,15,2,7,4,2781,77.25,2440,67.77777778,1450,1010,2238,0.451,262,745,0.352,499,721,0.692,435,1347,515,309,135,405,706
329,VMI,30,9,21,0.3,-12.96,-3.15,4,14,8,6,1,14,2081,69.36666667,2264,75.46666667,1205,729,1770,0.412,263,783,0.336,360,498,0.723,290,996,330,184,126,397,586
330,Virginia Tech,35,20,15,0.571,9.93,7.53,10,8,14,5,4,7,2624,74.97142857,2540,72.57142857,1425,876,1953,0.449,200,575,0.348,672,964,0.697,371,1230,426,188,125,447,673
331,Virginia NCAA,37,29,8,0.784,22.04,11.12,13,5,15,0,5,6,2626,70.97297297,2222,60.05405405,1485,964,1964,0.491,224,557,0.402,474,630,0.752,323,1189,551,199,119,345,596
332,Wagner,34,23,11,0.676,-4.79,-9.52,13,5,13,4,10,7,2389,70.26470588,2209,64.97058824,1365,856,2019,0.424,203,617,0.329,474,665,0.713,474,1348,451,237,136,454,743
333,Wake Forest,31,11,20,0.355,5.53,10.53,2,16,6,9,3,9,2295,74.03225806,2450,79.03225806,1250,793,1804,0.44,195,618,0.316,514,779,0.66,377,1186,434,184,138,451,649
334,Washington State,31,9,22,0.29,0.5,7.97,1,17,8,9,0,10,2187,70.5483871,2394,77.22580645,1260,805,1760,0.457,184,530,0.347,393,551,0.713,247,1048,419,155,134,440,615
335,Washington,34,19,15,0.559,11.21,8.12,9,9,13,5,3,7,2853,83.91176471,2748,80.82352941,1385,964,2264,0.426,249,752,0.331,676,932,0.725,473,1360,488,258,222,470,813
336,Weber State NCAA,35,26,9,0.743,0.18,-5.13,15,3,13,1,6,7,2662,76.05714286,2344,66.97142857,1420,908,1885,0.482,291,785,0.371,555,821,0.676,300,1296,477,175,119,462,611
337,West Virginia NCAA,35,26,9,0.743,21.61,9.78,13,5,13,2,7,4,2749,78.54285714,2335,66.71428571,1410,943,2102,0.449,209,643,0.325,654,972,0.673,558,1380,510,343,93,498,819
338,Western Carolina,34,16,18,0.471,-4.98,-1.53,10,8,12,2,3,15,2479,72.91176471,2490,73.23529412,1385,851,1993,0.427,242,730,0.332,535,760,0.704,404,1241,427,275,110,485,705
339,Western Illinois,27,10,17,0.37,-6.2,-1.32,3,13,7,6,3,11,1904,70.51851852,1914,70.88888889,1080,676,1521,0.444,190,490,0.388,362,502,0.721,233,948,361,163,89,332,555
340,Western Kentucky,34,18,16,0.529,-1.29,-0.89,8,10,12,4,3,9,2620,77.05882353,2586,76.05882353,1385,925,1970,0.47,233,643,0.362,537,768,0.699,405,1311,463,151,139,450,610
341,Western Michigan,32,13,19,0.406,-2.07,0.06,7,11,10,5,2,12,2342,73.1875,2352,73.5,1310,786,1824,0.431,197,569,0.346,573,805,0.712,359,1190,382,183,80,401,633
342,Wichita State NCAA,35,26,9,0.743,17.39,4.24,16,2,14,1,9,3,2535,72.42857143,2066,59.02857143,1410,867,2023,0.429,250,771,0.324,551,768,0.717,407,1305,489,255,125,346,705
343,William & Mary,31,20,11,0.645,5.57,1.3,11,7,12,3,7,7,2384,76.90322581,2205,71.12903226,1250,843,1755,0.48,241,652,0.37,457,636,0.719,258,1141,501,170,132,331,512
344,Winthrop,32,23,9,0.719,-1.42,-5.7,13,5,14,1,7,7,2631,82.21875,2429,75.90625,1280,890,1869,0.476,285,768,0.371,566,756,0.749,291,1160,378,174,175,403,602
345,Wisconsin NCAA,35,22,13,0.629,13.4,9.4,12,6,13,5,6,5,2373,67.8,2233,63.8,1410,816,1917,0.426,229,656,0.349,512,728,0.703,398,1228,400,205,114,386,588
346,Wofford,32,15,17,0.469,-3.75,-2.35,11,7,11,2,4,14,2296,71.75,2295,71.71875,1295,771,1725,0.447,270,662,0.408,484,645,0.75,274,1013,470,163,56,379,608
347,Wright State,35,22,13,0.629,0.18,-1.76,13,5,13,2,5,9,2399,68.54285714,2303,65.8,1405,856,1916,0.447,256,687,0.373,431,621,0.694,232,1094,478,193,75,397,770
348,Wyoming,32,14,18,0.438,0.09,2.19,7,11,10,6,4,8,2294,71.6875,2302,71.9375,1295,720,1626,0.443,319,857,0.372,535,747,0.716,181,989,392,132,84,358,594
349,Xavier NCAA,34,28,6,0.824,18.58,8.43,14,4,15,1,8,3,2737,80.5,2392,70.35294118,1360,928,2054,0.452,255,702,0.363,626,857,0.73,436,1387,548,246,101,429,678
350,Yale NCAA,30,23,7,0.767,9.08,-1.03,13,1,12,0,9,6,2248,74.93333333,1914,63.8,1205,795,1693,0.47,190,523,0.363,468,699,0.67,407,1208,452,170,137,398,530
351,Youngstown State,32,11,21,0.344,-10.86,-0.86,6,12,6,8,3,11,2437,76.15625,2682,83.8125,1305,870,2021,0.43,257,704,0.365,440,619,0.711,283,1081,467,219,80,387,571
