Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,Points Opponent,MP,Opponent Totals FG,Opponent Totals FGA,Opponent Totals FG%,Opponent Totals 3P,Opponent Totals 3PA,Opponent Totals 3P%,Opponent Totals FT,Opponent Totals FTA,Opponent Totals FT%,Opponent Totals ORB,Opponent Totals TRB,Opponent Totals AST,Opponent Totals STL,Opponent Totals BLK,Opponent Totals TOV,Opponent Totals PF
1,Abilene Christian,31,13,18,0.419,-13.93,-7.53,8,10,10,5,2,12,2209,2272,1250,792,1662,0.477,168,486,0.346,520,735,0.707,266,1031,376,160,98,448,596
2,Air Force,32,14,18,0.438,-5.51,0.66,5,13,12,5,2,13,2189,2330,1300,784,1823,0.43,290,843,0.344,472,667,0.708,326,1187,470,211,133,436,664
3,Akron,35,26,9,0.743,5.55,-1.24,13,5,15,0,6,8,2682,2381,1405,862,2103,0.41,205,698,0.294,452,667,0.678,401,1315,393,206,80,408,630
4,Alabama A&M,29,11,18,0.379,-13.47,-10.75,6,12,6,5,4,12,1974,2042,1175,726,1599,0.454,168,520,0.323,422,637,0.662,307,1025,351,171,84,316,590
5,Alabama-Birmingham,33,26,7,0.788,3.5,-3.07,16,2,16,0,10,4,2606,2323,1340,841,2017,0.417,233,712,0.327,408,589,0.693,390,1144,430,205,103,417,590
6,Alabama State,31,14,17,0.452,-13.11,-9.35,9,9,8,3,5,12,2217,2308,1260,808,1744,0.463,193,569,0.339,499,768,0.65,324,1170,404,187,106,400,548
7,Alabama,33,18,15,0.545,7.14,8.62,8,10,10,4,5,8,2193,2242,1330,769,1878,0.409,211,642,0.329,493,735,0.671,431,1259,370,189,96,402,647
8,Albany (NY),33,24,9,0.727,0.93,-7.57,13,3,14,1,10,8,2495,2180,1335,801,1899,0.422,229,750,0.305,349,516,0.676,310,1027,404,177,131,428,695
9,Alcorn State,30,15,15,0.5,-16.01,-9.94,13,5,9,2,6,9,2014,2164,1225,748,1673,0.447,215,592,0.363,453,646,0.701,324,1038,384,205,95,357,583
10,American,31,12,19,0.387,-14.18,-6.08,9,9,5,7,7,12,1785,2036,1250,735,1568,0.469,147,473,0.311,419,628,0.667,284,992,362,225,75,370,530
11,Appalachian State,31,9,22,0.29,-7.91,-1.1,7,13,6,7,2,12,2187,2398,1240,856,1852,0.462,183,474,0.386,503,738,0.682,357,1157,373,197,116,349,673
12,Arizona State,32,15,17,0.469,8.28,8.96,5,13,11,6,3,9,2345,2367,1290,830,1812,0.458,224,633,0.354,483,690,0.7,302,1159,483,186,150,411,670
13,Arizona NCAA,34,25,9,0.735,18.79,7.23,12,6,17,1,5,5,2735,2342,1390,853,2067,0.413,204,646,0.316,432,606,0.713,320,1055,412,187,117,388,743
14,Arkansas-Little Rock NCAA,35,30,5,0.857,7.12,-1.76,17,3,14,0,12,4,2487,2129,1415,720,1825,0.395,226,721,0.313,463,677,0.684,353,1190,377,140,96,486,609
15,Arkansas-Pine Bluff,33,8,25,0.242,-19.31,-5.52,6,12,3,6,4,17,1867,2322,1325,747,1701,0.439,180,557,0.323,648,913,0.71,408,1248,441,271,99,438,524
16,Arkansas State,31,11,20,0.355,-7.48,-2.37,7,13,9,6,2,14,2282,2353,1260,791,1983,0.399,259,737,0.351,512,757,0.676,401,1257,399,195,94,355,675
17,Arkansas,32,16,16,0.5,10.23,6.76,9,9,13,4,3,8,2501,2390,1305,803,1844,0.435,231,644,0.359,553,790,0.7,349,1187,447,165,140,454,658
18,Army,33,19,14,0.576,-7.32,-8.13,9,9,7,8,11,6,2539,2474,1350,918,2064,0.445,199,575,0.346,439,656,0.669,342,1230,417,235,111,402,646
19,Auburn,31,11,20,0.355,0.15,7.54,5,13,8,7,2,11,2192,2421,1245,832,1877,0.443,232,667,0.348,525,752,0.698,376,1270,439,187,122,400,656
20,Austin Peay NCAA,36,18,18,0.5,-6.04,-2.98,7,9,7,7,7,9,2740,2765,1460,995,2159,0.461,302,840,0.36,471,667,0.706,378,1236,524,252,108,478,765
21,Ball State,35,21,14,0.6,0.11,-2.98,10,8,13,6,6,8,2479,2338,1430,790,1951,0.405,242,697,0.347,516,732,0.705,335,1189,399,230,75,397,638
22,Baylor NCAA,34,22,12,0.647,16.13,9.76,10,8,15,5,6,5,2621,2366,1375,823,1843,0.447,233,638,0.365,485,693,0.7,314,1011,598,223,134,463,666
23,Belmont,32,20,12,0.625,1.19,-2.1,12,4,11,1,8,10,2638,2510,1285,873,1977,0.442,242,689,0.351,522,725,0.72,370,1137,420,229,100,390,665
24,Bethune-Cookman,32,14,18,0.438,-14.35,-9.18,10,6,9,2,5,13,2258,2330,1295,830,1923,0.432,228,672,0.339,442,647,0.683,428,1258,478,173,86,389,582
25,Binghamton,30,8,22,0.267,-14.08,-6.35,5,11,5,9,3,13,1827,2059,1205,728,1675,0.435,204,606,0.337,399,576,0.693,298,1108,397,211,84,372,553
26,Boise State,32,20,12,0.625,7.23,3.13,11,7,14,2,5,7,2480,2246,1290,785,1765,0.445,234,669,0.35,442,631,0.7,264,1054,388,169,105,472,675
27,Boston College,32,7,25,0.219,-1.61,7.67,0,18,6,11,0,10,1959,2256,1285,796,1732,0.46,224,587,0.382,440,641,0.686,302,1175,467,234,110,415,504
28,Boston University,34,19,15,0.559,-6.79,-6.37,11,7,9,6,10,9,2483,2464,1375,875,2009,0.436,247,744,0.332,467,681,0.686,346,1184,486,217,90,406,628
29,Bowling Green State,34,16,18,0.471,-5.88,-1.85,5,13,7,8,7,8,2400,2457,1360,853,1978,0.431,278,745,0.373,473,685,0.691,350,1208,379,207,103,403,684
30,Bradley,32,5,27,0.156,-10.91,3.7,3,15,4,11,1,12,1793,2238,1290,737,1675,0.44,188,544,0.346,576,866,0.665,288,1121,397,247,99,374,647
31,Brigham Young,37,26,11,0.703,12.36,2.36,13,5,17,2,6,6,3093,2692,1485,943,2269,0.416,287,863,0.333,519,725,0.716,359,1340,509,205,136,487,728
32,Brown,28,8,20,0.286,-8.05,-2.82,3,11,7,6,1,13,2040,2155,1140,757,1726,0.439,218,613,0.356,423,617,0.686,338,1092,401,217,97,324,551
33,Bryant,31,8,23,0.258,-18.58,-6.71,5,13,4,10,4,13,2018,2361,1250,841,1880,0.447,251,759,0.331,428,589,0.727,378,1217,480,215,114,346,501
34,Bucknell,31,17,14,0.548,-2.09,-5.89,14,4,8,7,9,7,2448,2288,1265,779,1824,0.427,229,654,0.35,501,747,0.671,321,1067,447,218,132,404,663
35,Buffalo NCAA,35,20,15,0.571,1.34,0.9,10,8,10,5,5,9,2709,2634,1410,906,2098,0.432,256,755,0.339,566,790,0.716,378,1273,458,197,117,464,720
36,Butler NCAA,33,22,11,0.667,16.46,7.55,10,8,13,3,5,5,2638,2344,1325,818,1879,0.435,231,683,0.338,477,672,0.71,309,1082,414,152,145,432,670
37,Cal Poly,30,10,20,0.333,-3.49,0.9,4,12,5,7,3,12,2171,2255,1220,792,1720,0.46,213,547,0.389,458,658,0.696,287,1102,455,152,99,326,566
38,Cal State Bakersfield NCAA,33,24,9,0.727,2.58,-5.15,11,3,14,1,7,7,2405,2104,1330,696,1764,0.395,198,605,0.327,514,747,0.688,347,1128,339,177,108,499,657
39,Cal State Fullerton,30,10,20,0.333,-7.12,-0.76,3,13,5,8,5,9,2104,2227,1205,752,1753,0.429,238,677,0.352,485,664,0.73,307,1096,436,162,118,341,611
40,Cal State Northridge,30,10,20,0.333,-6.85,-0.85,5,11,5,7,4,12,2143,2261,1225,799,1815,0.44,232,600,0.387,431,630,0.684,348,1150,462,196,113,415,628
41,UC-Davis,30,11,19,0.367,-5.58,-1.26,6,10,8,7,3,11,1914,1980,1225,707,1710,0.413,196,632,0.31,370,517,0.716,296,1057,409,223,103,408,566
42,UC-Irvine,38,28,10,0.737,5.33,0.77,13,3,11,2,13,5,2706,2512,1535,847,2210,0.383,272,815,0.334,546,745,0.733,403,1325,530,204,93,441,716
43,UC-Riverside,33,14,19,0.424,-5.66,-3.08,5,11,7,9,7,9,2299,2300,1320,796,1861,0.428,198,583,0.34,510,713,0.715,321,1136,428,208,115,392,608
44,UC-Santa Barbara,33,19,14,0.576,3.79,1.44,11,5,6,5,10,6,2335,2219,1325,736,1842,0.4,229,764,0.3,518,750,0.691,340,1178,410,171,95,403,545
45,University of California NCAA,34,23,11,0.676,15.39,7.87,12,6,18,0,4,7,2545,2289,1375,789,1989,0.397,183,527,0.347,528,745,0.709,327,1126,369,172,100,329,693
46,Campbell,30,12,18,0.4,-11.07,-6.67,5,13,7,9,5,8,2207,2203,1205,783,1708,0.458,198,538,0.368,439,649,0.676,314,1109,357,180,76,404,596
47,Canisius,33,14,19,0.424,-5.62,-3.77,8,12,7,7,4,11,2526,2587,1355,892,1872,0.476,273,718,0.38,530,730,0.726,353,1228,526,175,114,455,663
48,Central Arkansas,28,7,21,0.25,-15.17,-6.81,6,12,4,6,2,14,2110,2344,1120,811,1729,0.469,239,618,0.387,483,669,0.722,303,1028,443,196,114,324,553
49,Central Connecticut State,29,4,25,0.138,-22.35,-9.24,3,15,3,11,1,14,1888,2268,1175,843,1775,0.475,208,580,0.359,374,542,0.69,309,1096,444,204,114,299,495
50,Central Florida,30,12,18,0.4,0.18,3.01,6,12,8,8,4,9,2062,2147,1210,799,1925,0.415,217,671,0.323,332,482,0.689,367,1089,440,224,92,277,552
51,Central Michigan,33,17,16,0.515,-0.67,-1.3,10,8,13,4,4,8,2495,2401,1325,861,1938,0.444,231,665,0.347,448,646,0.693,367,1232,418,141,82,355,611
52,Charleston Southern,30,9,21,0.3,-10.92,-2.59,5,13,6,8,3,12,2146,2253,1210,783,1708,0.458,242,658,0.368,445,624,0.713,267,1101,410,173,118,376,513
53,Charlotte,33,14,19,0.424,-3.14,-1.72,9,9,8,7,5,8,2584,2631,1340,961,1994,0.482,264,672,0.393,445,617,0.721,314,1200,438,189,117,441,595
54,Chattanooga NCAA,35,29,6,0.829,3.24,-3.46,15,3,13,1,10,4,2652,2364,1410,866,1967,0.44,235,711,0.331,397,584,0.68,344,1133,442,226,132,494,692
55,Chicago State,32,4,28,0.125,-17.52,-1.38,0,14,4,9,0,15,2140,2478,1280,826,1821,0.454,291,763,0.381,535,787,0.68,366,1287,552,215,133,469,560
56,Cincinnati NCAA,33,22,11,0.667,15.19,5.25,12,6,14,3,6,6,2418,2090,1355,750,1907,0.393,240,672,0.357,350,515,0.68,373,1136,380,169,109,446,575
57,Citadel,32,10,22,0.313,-15.95,-4.75,3,15,6,8,3,13,2753,2962,1285,1052,2050,0.513,226,642,0.352,632,900,0.702,413,1440,551,218,130,536,645
58,Clemson,31,17,14,0.548,12.03,6.87,10,8,13,4,3,8,2159,1999,1250,723,1725,0.419,205,583,0.352,348,492,0.707,327,1060,375,157,88,357,557
59,Cleveland State,32,9,23,0.281,-9.17,0.09,4,14,5,9,3,10,1947,2169,1285,738,1662,0.444,200,587,0.341,493,751,0.656,336,1121,436,203,102,431,562
60,Coastal Carolina,33,21,12,0.636,-1.85,-4.22,12,6,14,4,7,5,2410,2196,1325,780,1980,0.394,249,820,0.304,387,591,0.655,366,1181,390,197,91,362,599
61,Colgate,30,13,17,0.433,-8.61,-6.06,9,9,8,4,5,13,2093,2145,1220,734,1599,0.459,222,595,0.373,455,664,0.685,301,1043,384,166,108,386,530
62,College of Charleston,31,17,14,0.548,2.37,0.04,8,10,10,5,6,8,2028,1921,1250,657,1548,0.424,173,535,0.323,434,660,0.658,274,1056,312,165,103,441,571
63,Colorado State,34,18,16,0.529,2.31,1.53,8,10,12,5,3,8,2700,2626,1400,918,2037,0.451,283,804,0.352,507,703,0.721,305,1176,470,206,103,357,774
64,Colorado NCAA,34,22,12,0.647,12.04,7.64,10,8,16,1,4,7,2576,2407,1370,852,2038,0.418,212,596,0.356,491,716,0.686,322,1140,357,254,153,371,698
65,Columbia,35,25,10,0.714,3.45,-2.55,10,4,18,4,7,6,2670,2399,1415,842,1916,0.439,262,737,0.355,453,659,0.687,311,1155,454,161,108,449,635
66,Connecticut NCAA,36,25,11,0.694,15.89,6.28,11,7,14,3,6,4,2631,2285,1460,785,2032,0.386,240,736,0.326,475,719,0.661,393,1242,409,184,129,431,592
67,Coppin State,31,9,22,0.29,-15.75,-6.06,6,10,5,7,3,14,2240,2497,1280,881,1872,0.471,222,602,0.369,513,799,0.642,399,1283,461,176,123,429,647
68,Cornell,28,10,18,0.357,-9.55,-1.04,3,11,5,8,5,10,1992,2193,1130,765,1723,0.444,220,613,0.359,443,602,0.736,370,1198,458,156,106,407,512
69,Creighton,35,20,15,0.571,13.69,6.44,9,9,14,5,4,9,2787,2533,1400,901,2088,0.432,244,705,0.346,487,700,0.696,341,1230,459,224,111,441,698
70,Dartmouth,28,10,18,0.357,-5.58,-3.29,4,10,8,6,2,12,1992,1989,1130,678,1505,0.45,212,611,0.347,421,635,0.663,271,934,362,189,133,409,570
71,Davidson,33,20,13,0.606,5.74,5.14,10,8,15,1,3,10,2608,2576,1325,945,2059,0.459,252,727,0.347,434,617,0.703,373,1294,464,183,106,378,643
72,Dayton NCAA,33,25,8,0.758,11.34,4.76,14,4,14,3,8,2,2393,2176,1335,761,1882,0.404,242,693,0.349,412,618,0.667,299,1113,417,161,96,412,649
73,Delaware State,32,7,25,0.219,-20.88,-6.85,5,11,6,7,1,17,1980,2336,1290,791,1821,0.434,248,769,0.322,506,740,0.684,435,1311,478,189,100,425,569
74,Delaware,30,7,23,0.233,-8.62,0.85,2,16,5,7,2,15,1986,2270,1205,784,1800,0.436,296,850,0.348,406,574,0.707,311,1099,489,189,120,275,606
75,Denver,31,16,15,0.516,-3.34,-3.24,7,9,8,7,6,6,2021,2024,1240,672,1480,0.454,193,521,0.37,487,642,0.759,276,945,367,177,87,440,549
76,DePaul,31,9,22,0.29,0.83,8.34,3,15,5,9,3,10,2092,2325,1245,756,1711,0.442,246,675,0.364,567,766,0.74,317,1034,466,206,98,377,606
77,Detroit Mercy,31,16,15,0.516,-2.44,-0.82,9,9,11,4,4,10,2595,2567,1245,862,1869,0.461,239,681,0.351,604,848,0.712,330,1107,447,195,125,414,694
78,Drake,31,7,24,0.226,-5.15,0.92,2,16,5,9,0,12,2093,2230,1255,816,1805,0.452,219,594,0.369,379,543,0.698,297,1031,375,188,130,302,585
79,Drexel,31,6,25,0.194,-5.42,1.88,3,15,3,9,2,12,1958,2183,1245,737,1600,0.461,189,520,0.363,520,759,0.685,285,1107,382,160,109,365,598
80,Duke NCAA,36,25,11,0.694,19.23,10.59,11,7,15,3,5,4,2920,2609,1450,998,2244,0.445,226,665,0.34,387,568,0.681,456,1322,523,163,126,427,761
81,Duquesne,34,17,17,0.5,1.41,1.35,6,12,10,6,4,8,2704,2677,1370,892,2141,0.417,329,820,0.401,564,803,0.702,387,1277,582,210,99,394,645
82,East Carolina,32,12,20,0.375,-0.38,3.22,4,14,8,8,3,10,2186,2301,1305,854,1911,0.447,249,752,0.331,344,511,0.673,370,1161,540,204,116,402,525
83,East Tennessee State,36,24,12,0.667,-1.49,-2.29,14,4,13,2,8,8,2813,2687,1455,915,2107,0.434,262,786,0.333,595,827,0.719,393,1307,426,228,116,471,700
84,Eastern Illinois,30,13,17,0.433,-8.35,-3.52,9,7,9,5,4,9,2145,2213,1220,766,1722,0.445,212,634,0.334,469,666,0.704,364,1161,419,184,77,410,595
85,Eastern Kentucky,31,15,16,0.484,-3.53,-3.86,6,10,10,6,5,10,2497,2453,1240,837,1814,0.461,251,668,0.376,528,755,0.699,367,1101,514,206,82,467,666
86,Eastern Michigan,33,18,15,0.545,-0.14,1.24,9,9,14,3,4,11,2553,2460,1330,823,1956,0.421,276,790,0.349,538,778,0.692,441,1262,482,199,108,529,725
87,Eastern Washington,34,18,16,0.529,-4.47,-6.03,10,8,11,2,5,12,2769,2617,1360,953,1966,0.485,197,536,0.368,514,743,0.692,322,1161,496,195,113,395,654
88,Elon,32,16,16,0.5,-0.67,0.66,7,11,8,8,8,7,2429,2413,1285,884,1980,0.446,219,606,0.361,426,638,0.668,356,1218,396,204,128,377,621
89,Evansville,34,25,9,0.735,8.1,-0.39,12,6,13,3,8,4,2526,2221,1370,794,1962,0.405,206,635,0.324,427,580,0.736,314,1101,406,194,120,436,718
90,Fairfield,33,19,14,0.576,-3.84,-3.14,12,8,11,5,7,7,2522,2545,1345,902,2072,0.435,252,748,0.337,489,706,0.693,438,1342,454,193,88,459,636
91,Fairleigh Dickinson NCAA,33,18,15,0.545,-10.9,-8.31,11,7,9,6,9,8,2558,2600,1335,868,1901,0.457,247,698,0.354,617,888,0.695,417,1285,487,209,118,510,638
92,Florida A&M,29,8,21,0.276,-21.74,-10.67,4,12,6,6,1,14,1863,2128,1190,746,1691,0.441,194,587,0.33,442,644,0.686,324,1143,339,221,84,434,597
93,Florida Atlantic,33,8,25,0.242,-10.3,-1.72,5,13,5,7,2,14,2189,2445,1325,882,1928,0.457,172,484,0.355,507,715,0.709,373,1280,418,198,142,378,564
94,Florida Gulf Coast NCAA,35,21,14,0.6,-0.79,-3.82,8,6,16,4,4,8,2703,2473,1435,877,2128,0.412,232,763,0.304,487,713,0.683,385,1235,415,234,111,422,663
95,Florida International,32,13,19,0.406,-5.25,-4.81,7,11,7,9,5,8,2277,2242,1300,775,1900,0.408,237,729,0.325,455,665,0.684,366,1111,411,190,103,320,566
96,Florida State,34,20,14,0.588,12.16,8.16,8,10,11,4,4,8,2652,2516,1365,875,1981,0.442,265,733,0.362,501,728,0.688,342,1140,447,180,103,458,668
97,Florida,36,21,15,0.583,14.69,9.19,9,9,12,4,6,9,2677,2479,1445,868,2109,0.412,233,679,0.343,510,752,0.678,405,1364,413,192,125,471,732
98,Fordham,31,17,14,0.548,1.87,-0.09,8,10,14,5,3,7,2206,2128,1255,728,1622,0.449,213,637,0.334,459,651,0.705,268,1008,458,209,91,485,559
99,Fresno State NCAA,35,25,10,0.714,5.27,2.24,13,5,16,2,6,7,2630,2475,1420,812,1929,0.421,252,761,0.331,599,859,0.697,368,1275,430,161,108,529,700
100,Furman,35,19,16,0.543,-2.83,-4.2,11,7,14,2,3,12,2487,2333,1400,815,1874,0.435,236,683,0.346,467,688,0.679,326,1099,402,230,97,449,673
101,Gardner-Webb,33,17,16,0.515,-6.92,-3.96,10,8,9,4,5,11,2476,2451,1335,840,1887,0.445,240,692,0.347,531,741,0.717,341,1216,431,213,103,462,609
102,George Mason,32,11,21,0.344,-1.79,3.62,5,13,7,8,2,11,2140,2313,1290,827,1957,0.423,241,682,0.353,418,587,0.712,277,1107,406,175,124,221,589
103,George Washington,38,28,10,0.737,11.43,4.24,11,7,16,3,8,5,2875,2602,1530,953,2228,0.428,262,795,0.33,434,601,0.722,378,1245,443,221,135,451,770
104,Georgetown,33,15,18,0.455,10.31,8.49,7,11,9,8,4,8,2430,2370,1335,758,1839,0.412,199,571,0.349,655,907,0.722,343,1142,408,205,90,371,636
105,Georgia Southern,31,14,17,0.452,-5.65,-3.14,10,10,10,4,4,12,2353,2307,1250,770,1763,0.437,235,713,0.33,532,769,0.692,374,1232,379,148,127,463,598
106,Georgia State,30,16,14,0.533,-2.8,-2.19,9,11,12,3,4,10,1971,1950,1220,638,1559,0.409,205,639,0.321,469,646,0.726,307,1047,373,158,92,425,545
107,Georgia Tech,36,21,15,0.583,12.51,9.95,8,10,14,5,5,8,2637,2545,1445,931,2107,0.442,206,643,0.32,477,667,0.715,346,1131,436,169,98,352,637
108,Georgia,34,20,14,0.588,9.41,8.47,10,8,15,4,3,9,2401,2369,1370,770,1976,0.39,259,782,0.331,570,812,0.702,392,1217,385,213,132,365,713
109,Gonzaga NCAA,36,28,8,0.778,16.92,4.23,15,3,11,4,9,2,2840,2360,1445,859,2167,0.396,214,717,0.298,428,610,0.702,359,1159,370,210,107,370,701
110,Grambling,31,7,24,0.226,-19.62,-8.48,4,14,5,7,2,15,1924,2110,1250,727,1681,0.432,205,623,0.329,451,677,0.666,327,1116,400,204,111,425,572
111,Grand Canyon,34,27,7,0.794,1.43,-5.6,11,3,18,2,7,5,2581,2316,1365,822,1938,0.424,226,702,0.322,446,675,0.661,334,1169,368,206,129,458,743
112,Green Bay NCAA,36,23,13,0.639,1.16,-0.67,11,7,11,3,8,9,3013,2880,1455,1013,2255,0.449,278,765,0.363,576,807,0.714,432,1458,512,215,162,609,790
113,Hampton NCAA,32,21,11,0.656,-8.74,-8.45,13,3,9,2,8,7,2363,2370,1305,826,1934,0.427,215,641,0.335,503,696,0.723,324,1169,347,183,133,393,688
114,Hartford,33,10,23,0.303,-14.29,-5.69,4,12,4,12,6,11,2336,2588,1345,918,1948,0.471,231,672,0.344,521,794,0.656,415,1389,504,174,109,438,625
115,Harvard,30,14,16,0.467,-0.96,-0.25,6,8,8,5,4,10,2001,1985,1205,699,1720,0.406,186,609,0.305,401,563,0.712,307,1026,364,217,76,346,546
